City_ID,City,Country,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
218,Vila Velha,BR,moderate rain,75.15,95,75,2.3,-20.3297,-40.2925,Hotel Vitória Palace
220,Hobyo,SO,overcast clouds,75.9,74,100,13.13,5.3505,48.5268,Halane Hotel and Restaurent
232,Prado,BR,light rain,76.24,88,100,4.7,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
236,Nabire,ID,overcast clouds,80.01,86,99,2.24,-3.3667,135.4833,Hotel Nusantara Nabire
254,Manggar,ID,overcast clouds,79.65,84,100,3.94,-2.8833,108.2667,Guest Hotel
255,Souillac,MU,light rain,79.18,94,75,8.05,-20.5167,57.5167,Shanti Maurice Resort & Spa
261,Camapua,BR,overcast clouds,78.93,62,85,5.73,-19.5314,-54.0439,Comercial Estrela
267,Biloela,AU,clear sky,87.96,32,0,13.4,-24.4167,150.5,Biloela Silo Motor Inn
284,Chichi,NG,few clouds,77.83,16,20,4.74,7.2721,8.9332,Ante Roland
287,Bac Lieu,VN,overcast clouds,82.83,69,100,19.64,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
292,Natal,BR,few clouds,81.25,89,20,8.05,-5.795,-35.2094,Villa Park Hotel | Natal
294,Labrea,BR,overcast clouds,77.63,82,100,0.98,-7.2586,-64.7981,Hotel Novo Horizonte
297,Isangel,VU,broken clouds,86.11,79,75,4.61,-19.55,169.2667,Tanna Lodge
303,Bourail,NC,light rain,84.99,69,98,8.08,-21.5667,165.4833,Motel Allamanda
309,Flinders,AU,scattered clouds,78.39,66,28,3.0,-34.5833,150.8552,Shellharbour Resort & Conference Centre
310,Morro Bay,US,clear sky,75.65,39,9,1.68,35.3658,-120.8499,Inn at Morro Bay
312,Kinablangan,PH,overcast clouds,82.09,71,89,4.27,7.6947,126.5503,Morales Eatery and Lodging House
315,Grenville,GD,broken clouds,75.25,73,60,20.85,12.1167,-61.6167,Valley Breeze Guest House
323,Grand Gaube,MU,few clouds,79.2,89,16,5.99,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
326,Nha Trang,VN,overcast clouds,80.6,73,100,3.71,12.25,109.1833,Hanoi Golden Hotel
327,Ciudad Bolivar,VE,overcast clouds,78.66,58,87,11.99,8.1222,-63.5497,Hotel Edi
331,Harper,LR,clear sky,78.35,85,10,6.62,4.375,-7.7169,Screensaver
337,Buchanan,LR,clear sky,76.96,88,0,4.83,5.8808,-10.0467,Kamaneahn Hotel Inc
339,Namatanai,PG,moderate rain,83.62,73,100,3.4,-3.6667,152.4333,Seagulls Inn Namatani
340,Dicabisagan,PH,overcast clouds,75.9,88,100,9.31,17.0818,122.4157,Nancy Montanes Bernardo
348,East London,ZA,few clouds,75.36,87,24,12.71,-33.0153,27.9116,Tu Casa
349,Noumea,NC,overcast clouds,85.98,99,94,5.44,-22.2763,166.4572,Hôtel Le Lagon
355,Bengkulu,ID,broken clouds,82.11,69,83,1.66,-3.8004,102.2655,Grage Hotel Bengkulu
358,Trairi,BR,broken clouds,77.85,86,78,6.76,-3.2778,-39.2689,janelas do mar
359,Pinillos,CO,clear sky,78.75,75,6,4.47,8.9193,-74.4677,HOTEL CASA BLANCA
361,Pedernales,DO,clear sky,76.48,70,7,8.88,18.0384,-71.744,Hotel Costa Marina
362,Balikpapan,ID,few clouds,83.39,79,20,3.44,-1.2675,116.8289,Swiss-Belhotel Balikpapan
367,Saint-Joseph,RE,clear sky,77.36,81,1,8.86,-21.3667,55.6167,"""Plantation Bed and Breakfast"
368,Santa Rosa,PH,broken clouds,87.12,76,75,13.31,14.3122,121.1114,Erlyn’s Sta Rosa City Home
369,Codrington,AU,overcast clouds,86.13,25,100,11.18,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
374,Mitsamiouli,KM,light rain,80.29,78,98,8.99,-11.3847,43.2844,Foyer ADM
377,Jeremie,HT,clear sky,76.48,78,1,2.26,18.65,-74.1167,Auberge’Inn
378,Touros,BR,few clouds,81.5,80,23,8.99,-5.1989,-35.4608,INN NEW HORIZON
379,Quatre Cocos,MU,moderate rain,78.91,86,20,12.62,-20.2078,57.7625,Sunrise Attitude Hotel
380,Ulladulla,AU,clear sky,77.88,45,0,9.46,-35.35,150.4667,Sandpiper Motel
381,Finschhafen,PG,scattered clouds,82.92,74,48,3.58,-6.6024,147.8681,Cossam Guest House
394,Puerto Carreno,CO,overcast clouds,84.2,53,98,2.48,6.189,-67.4859,Casa Hotel Victoria
395,Mahajanga,MG,few clouds,78.82,94,20,4.61,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
398,Broken Hill,AU,overcast clouds,89.31,22,95,18.41,-31.95,141.4333,Royal Exchange Hotel
405,Forbes,AU,clear sky,83.91,31,0,5.64,-33.3833,148.0167,Lake Forbes Motel
407,Kloulklubed,PW,overcast clouds,82.33,77,100,20.24,7.0419,134.2556,Storyboard Beach Resort
413,Daru,PG,few clouds,83.84,67,21,9.28,-9.0763,143.2092,Daru Lodge
416,Navrongo,GH,clear sky,76.96,13,0,6.04,10.8956,-1.0921,Azakka Hotel
420,Acarau,BR,scattered clouds,78.15,86,48,9.66,-2.8856,-40.12,castelo pizzaria
421,Cap Malheureux,MU,few clouds,79.29,89,16,5.99,-19.9842,57.6142,Pereybere Hotel & Spa
427,Bubaque,GW,clear sky,79.59,56,0,9.64,11.2833,-15.8333,"Casa Dora, Bubaque"
429,Cayenne,GF,clear sky,79.09,87,0,1.99,4.9333,-52.3333,Hôtel Le Dronmi
435,Ewa Beach,US,scattered clouds,81.77,50,40,11.5,21.3156,-158.0072,Base Lodging
446,Boyolangu,ID,broken clouds,82.22,75,73,7.07,-8.1181,111.8935,Yos ega cv
450,Tucuma,BR,overcast clouds,76.77,92,99,4.97,-0.1833,-50.05,
456,La Asuncion,VE,clear sky,78.53,78,9,13.8,11.0333,-63.8628,Colinas de Matasiete
460,Acapulco,MX,overcast clouds,77.61,69,88,5.23,16.8634,-99.8901,HS Hotsson Smart Acapulco
463,Hervey Bay,AU,broken clouds,86.04,63,73,20.18,-25.2986,152.8535,Shelly Bay Resort
464,Kavaratti,IN,clear sky,80.73,69,5,5.35,10.5669,72.642,Hotels in Lakshadweep Islands
472,Poya,NC,broken clouds,86.32,68,78,8.05,-21.35,165.15,
476,Kanniyakumari,IN,moderate rain,77.97,70,100,20.6,8.0833,77.5667,Sparsa
480,Axim,GH,overcast clouds,78.17,86,98,6.55,4.8699,-2.2405,Axim Beach Resort And Spa
481,Sibolga,ID,overcast clouds,80.87,74,100,1.03,1.7427,98.7792,Hotel Syariah CN Darussalam
483,Yenagoa,NG,overcast clouds,77.09,86,100,3.65,4.9247,6.2642,Aridolf Resort Wellness and Spa
486,Santa Marta,CO,broken clouds,84.25,64,75,25.01,11.2408,-74.199,Hotel La Ballena Azul
489,Dingle,PH,overcast clouds,83.64,69,96,11.34,10.9995,122.6711,SEGAYA PROPERTY
490,Le Vauclin,MQ,few clouds,77.05,73,20,12.66,14.5452,-60.8388,Hôtel Cap Macabou
493,Geraldton,AU,clear sky,82.81,51,0,3.44,-28.7667,114.6,Broadwater Mariner Resort
499,Caraballeda,VE,few clouds,80.67,78,20,5.75,10.6112,-66.8522,Hotel 15 Letras
504,Kimbe,PG,light rain,86.04,66,57,5.01,-5.5502,150.1429,Kimbe Bay Hotel
514,Koumac,NC,overcast clouds,85.21,64,100,5.41,-20.5667,164.2833,Le Monitel
516,Tabou,CI,few clouds,77.94,87,12,6.11,4.423,-7.3528,hotêl doufoulougou
528,Libreville,GA,light rain,79.07,86,100,5.39,0.3925,9.4537,Le Méridien Re-Ndama
537,Kailua,US,few clouds,80.08,65,20,10.36,21.4022,-157.7394,Sheffield House Bed & Breakfast
541,Port Blair,IN,mist,75.24,83,40,2.3,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
547,Davila,PH,broken clouds,80.58,67,58,3.78,18.4726,120.5763,Blue Ridge Beach Resort
555,Banda Aceh,ID,broken clouds,81.21,75,58,9.19,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
572,Puerto Madero,MX,scattered clouds,79.56,72,34,7.05,14.7208,-92.4215,Hospedaje madero
575,Dalby,AU,clear sky,77.7,33,0,13.44,-27.1833,151.2667,Kobbers Motor Inn Dalby
578,Bathsheba,BB,scattered clouds,77.61,69,40,17.27,13.2167,-59.5167,Atlantis Hotel
585,Labuhan,ID,overcast clouds,80.85,78,99,8.7,-6.8844,112.2051,DoubleFAG
590,Iquitos,PE,scattered clouds,77.04,94,40,3.44,-3.7481,-73.2472,Cortez Malaga Techy Caroly
591,Port Moresby,PG,haze,89.02,55,40,11.5,-9.4431,147.1797,Lamana Hotel (Port Moresby)
596,Kismayo,SO,few clouds,75.78,81,16,10.83,-0.3582,42.5454,Agan-Hotel
601,Samarai,PG,few clouds,82.29,67,21,8.1,-10.6167,150.6667,Nuli Sapi
603,Bambous Virieux,MU,moderate rain,79.05,94,75,8.05,-20.3428,57.7575,Casa Tia Villa
608,Bundaberg,AU,broken clouds,86.22,54,75,19.57,-24.85,152.35,Takalvan Motel
613,Kirakira,SB,broken clouds,84.67,71,54,3.47,-10.4544,161.9205,SanBiz Lodge
614,Dunkwa,GH,overcast clouds,75.63,90,100,2.21,5.9656,-1.78,Tim Freeman Gold City Hotel
615,Poum,NC,overcast clouds,81.82,73,100,5.93,-20.2333,164.0167,
617,Lakes Entrance,AU,broken clouds,89.17,51,57,6.53,-37.8811,147.981,The Esplanade Resort & Spa
619,General Roca,AR,overcast clouds,77.4,14,99,11.86,-39.0333,-67.5833,Hotel El Recreo
622,Phuket,TH,few clouds,80.82,83,20,3.44,8.0,98.25,The Surin
624,Luanda,AO,overcast clouds,75.97,86,97,3.6,-8.8368,13.2343,EPIC SANA Luanda
626,Itarema,BR,scattered clouds,78.13,85,49,8.97,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
628,Port Hedland,AU,scattered clouds,84.25,70,40,13.8,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
629,Suleja,NG,clear sky,75.02,16,7,7.09,9.1758,7.1808,Capy Motel
633,Lahaina,US,clear sky,79.84,77,0,7.7,20.8783,-156.6825,Lahaina Shores Beach Resort
638,Caravelas,BR,overcast clouds,76.6,83,100,4.5,-17.7125,-39.2481,Pousada dos Navegantes
644,Lorengau,PG,overcast clouds,83.19,72,100,1.19,-2.0226,147.2712,Lorengau Harbourside Hotel
645,Kokopo,PG,light rain,81.55,77,100,4.52,-4.352,152.2633,Kokopo Beach Bungalow Resort
647,Tigpalay,PH,overcast clouds,83.79,71,100,3.47,7.4939,122.3431,
658,Nhulunbuy,AU,scattered clouds,88.41,62,40,9.22,-12.2333,136.7667,East Arnhem Real Estate
661,Andros Town,BS,clear sky,76.69,79,4,9.46,24.7,-77.7667,Hanks place
669,La Romana,DO,few clouds,76.73,88,20,5.75,18.4273,-68.9728,Casa de Campo Resort and Villas
672,Eydhafushi,MV,overcast clouds,81.01,71,100,2.48,5.1033,73.0708,Soneva Fushi
675,Tual,ID,clear sky,81.86,72,10,3.89,-5.6667,132.75,Grand Vilia Hotel
676,Male,MV,overcast clouds,80.19,74,100,3.91,4.1748,73.5089,Hotel Octave Maldives
677,Marang,MY,scattered clouds,79.32,78,39,1.54,5.2056,103.2059,DBarakah Homestay
679,Anloga,GH,broken clouds,80.73,83,64,12.06,5.7947,0.8973,Pin Drop Hotel
682,Manokwari,ID,moderate rain,82.56,68,100,1.01,-0.8667,134.0833,Swiss Belhotel Manokwari
689,Gigmoto,PH,overcast clouds,78.42,85,100,16.08,13.7796,124.39,Cj's Travellers Inn
692,Arecibo,PR,few clouds,76.26,92,18,3.0,18.4724,-66.7157,Atlantic Sand Oasis
694,Honiara,SB,overcast clouds,84.85,72,98,2.89,-9.4333,159.95,Heritage Park Hotel
704,Port Macquarie,AU,broken clouds,75.88,55,63,9.24,-31.4333,152.9167,Rydges Port Macquarie
